date,close,volume,open,high,low,symbol
2021-02-24,3159.53,3011275,3166.75,3171.23,3125.38,AMZN
2021-02-23,3194.5,4677222,3127.03,3204.73,3093.6,AMZN
2021-02-22,3180.74,3515679,3208.13,3232.3199,3172.26,AMZN
2021-02-19,3249.9,4305184,3328.23,3333.5,3245.75,AMZN
2021-02-18,3328.23,3033607,3282.42,3338.0,3273.94,AMZN
2021-02-17,3308.64,3302099,3263.6,3320.91,3259.4996,AMZN
2021-02-16,3268.95,2574721,3254.05,3308.3,3253.591,AMZN
2021-02-12,3277.71,2335339,3250.0,3280.25,3233.31,AMZN
2021-02-11,3262.13,2301417,3292.0,3292.0,3248.06,AMZN
2021-02-10,3286.58,3151550,3314.0,3317.9548,3254.0,AMZN
2021-02-09,3305.0,2203526,3312.49,3338.0,3297.84,AMZN
2021-02-08,3322.94,3257391,3358.5,3364.9999,3304.0,AMZN
2021-02-05,3352.15,3620808,3319.0,3377.0,3302.71,AMZN
2021-02-04,3331.0,3670661,3330.0,3347.0,3277.75,AMZN
2021-02-03,3312.53,7088781,3425.01,3434.0,3308.62,AMZN
2021-02-02,3380.0,7098637,3380.0,3427.74,3361.125,AMZN
2021-02-01,3342.88,4160212,3242.36,3350.26,3235.025,AMZN
2021-01-29,3206.2,4293556,3230.0,3236.99,3184.55,AMZN
2021-01-28,3237.62,3149228,3235.04,3301.68,3228.69,AMZN
2021-01-27,3232.58,4660158,3341.49,3346.52,3207.08,AMZN
2021-01-26,3326.13,2955235,3296.356,3338.0,3282.87,AMZN
2021-01-25,3294.0,3749758,3328.5,3363.89,3243.1463,AMZN
2021-01-22,3292.23,2821914,3304.31,3321.91,3283.1644,AMZN
2021-01-21,3306.99,4945051,3293.0,3348.55,3289.5675,AMZN
2021-01-20,3263.38,5309835,3181.99,3279.8,3175.0,AMZN
2021-01-19,3120.76,3305142,3107.0,3145.0,3096.0,AMZN
2021-01-15,3104.25,4243995,3123.02,3142.545,3095.17,AMZN
2021-01-14,3127.47,3070919,3167.52,3177.9999,3120.59,AMZN
2021-01-13,3165.89,3321244,3128.44,3189.95,3122.08,AMZN
2021-01-12,3120.83,3514582,3120.0,3142.1418,3086.0,AMZN
2021-01-11,3114.21,3669095,3148.01,3156.3841,3110.0,AMZN
2021-01-08,3182.7,3537744,3180.0,3190.64,3142.2,AMZN
2021-01-07,3162.16,3514545,3157.0,3208.542,3155.0,AMZN
2021-01-06,3138.38,4394815,3146.48,3197.509,3131.16,AMZN
2021-01-05,3218.51,2655548,3166.01,3223.38,3165.06,AMZN
2021-01-04,3186.63,4411449,3270.0,3272.0,3144.02,AMZN
2020-12-31,3256.93,2957206,3275.0,3282.9219,3241.2,AMZN
2020-12-30,3285.85,3209310,3341.0,3342.1,3282.47,AMZN
